Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,sin_day_of_week,cos_day_of_week,sin_month,cos_month
2024-11-12,-3.0,-2.0,1.0,1.0,0.0,1.0,-4.0,0.0,2.0,-11.0,-2.0,15.0,16.0,0.0,2.0,6.0,4.0,3.0,4.0,-23.0,0.0,-2.0,2.0,0.0,-1.0,10.0,-1.0,10.0,0.0,1.0,4.0,-1.0,-2.0,-13.0,1.0,4.0,-6.0,-20.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,8.0,-21.0,-5.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,1.0,1.0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2024-11-13,-4.0,-1.0,1.0,-3.0,-2.0,-3.0,-6.0,3.0,0.0,14.0,2.0,1.0,-10.0,-2.0,-5.0,-3.0,-7.0,-1.0,2.0,18.0,1.0,-2.0,2.0,2.0,-2.0,0.0,1.0,-12.0,0.0,3.0,2.0,0.0,2.0,-10.0,-1.0,-1.0,-2.0,9.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,11.0,-5.0,-2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384
2024-11-14,5.0,-2.0,0.0,-1.0,1.0,3.0,-2.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,3.0,-3.0,-2.0,-3.0,1.0,-13.0,3.0,-1.0,1.0,0.0,5.0,1.0,0.0,13.0,0.0,-2.0,1.0,2.0,-8.0,3.0,-2.0,-2.0,0.0,-21.0,-3.0,0.0,-5.0,0.0,0.0,-1.0,1.0,0.0,-2.0,0.0,5.0,8.0,9.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,-6.0,-5.0,-2.0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-15,-6.0,-1.0,1.0,0.0,2.0,5.0,-6.0,1.0,1.0,6.0,4.0,5.0,4.0,1.0,9.0,-2.0,0.0,4.0,1.0,11.0,-1.0,3.0,-2.0,-5.0,-1.0,-1.0,-1.0,-14.0,0.0,-2.0,2.0,-2.0,5.0,-5.0,-5.0,-5.0,-2.0,-19.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,9.0,-9.0,-13.0,-2.0,1.0,0.0,1.0,-2.0,3.0,3.0,9.0,-2.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-16,-9.0,-2.0,-2.0,-2.0,-4.0,2.0,-3.0,-2.0,-3.0,-13.0,0.0,5.0,2.0,0.0,-13.0,-1.0,-3.0,7.0,-2.0,-10.0,-1.0,2.0,34.0,0.0,0.0,6.0,5.0,1.0,0.0,3.0,1.0,-2.0,3.0,-3.0,0.0,-1.0,-2.0,2.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,-1.0,3.0,12.0,-1.0,-1.0,-1.0,0.0,-1.0,2.0,-1.0,0.0,-1.0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
2024-11-17,-2.0,1.0,2.0,1.0,-2.0,-7.0,-2.0,-1.0,0.0,3.0,0.0,1.0,1.0,0.0,5.0,3.0,-2.0,-6.0,1.0,-10.0,1.0,5.0,-3.0,-1.0,2.0,-4.0,-3.0,1.0,0.0,-6.0,-2.0,2.0,-7.0,-3.0,-2.0,5.0,2.0,-2.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,3.0,-1.0,-4.0,4.0,0.0,0.0,4.0,-5.0,1.0,2.0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384
2024-11-18,4.0,1.0,-2.0,0.0,0.0,6.0,2.0,-2.0,1.0,2.0,-1.0,5.0,6.0,-1.0,-2.0,-2.0,9.0,-5.0,-1.0,2.0,1.0,3.0,2.0,1.0,-1.0,5.0,-1.0,-5.0,0.0,5.0,-3.0,-2.0,-2.0,-11.0,-3.0,-6.0,8.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,6.0,-12.0,-9.0,0.0,1.0,-3.0,0.0,2.0,-1.0,-1.0,5.0,1.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
2024-11-19,-3.0,-2.0,0.0,-5.0,1.0,2.0,-4.0,3.0,1.0,-2.0,-4.0,23.0,22.0,-1.0,3.0,0.0,-6.0,1.0,2.0,-3.0,-1.0,0.0,1.0,-3.0,2.0,7.0,-1.0,1.0,0.0,-3.0,-1.0,1.0,1.0,-9.0,-2.0,0.0,-6.0,-7.0,2.0,0.0,1.0,0.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,5.0,-7.0,-6.0,-1.0,1.0,0.0,-1.0,-2.0,-2.0,0.0,-7.0,-1.0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2024-11-20,1.0,4.0,0.0,-4.0,-3.0,3.0,-5.0,1.0,1.0,10.0,1.0,3.0,-2.0,0.0,-3.0,1.0,-6.0,4.0,-2.0,-7.0,5.0,5.0,1.0,0.0,-1.0,-2.0,3.0,4.0,0.0,-2.0,3.0,4.0,1.0,-15.0,3.0,-3.0,-4.0,-10.0,-2.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,4.0,0.0,7.0,-3.0,3.0,-1.0,-1.0,-5.0,-2.0,-4.0,-2.0,0.0,11.0,1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384
2024-11-21,-1.0,-3.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,3.0,20.0,-4.0,24.0,4.0,0.0,3.0,-5.0,-4.0,1.0,0.0,-7.0,0.0,-1.0,-2.0,-2.0,-1.0,-1.0,0.0,-4.0,0.0,-3.0,-2.0,-3.0,-2.0,-18.0,-2.0,-3.0,-1.0,-15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,2.0,-1.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,0.0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-22,1.0,-2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,3.0,0.0,8.0,2.0,0.0,-2.0,-1.0,-3.0,-1.0,-2.0,2.0,2.0,0.0,0.0,0.0,5.0,-1.0,0.0,-1.0,0.0,0.0,3.0,-3.0,3.0,-2.0,2.0,1.0,-4.0,-17.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,-2.0,0.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-23,3.0,0.0,0.0,-2.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,6.0,3.0,2.0,-2.0,0.0,-2.0,3.0,0.0,6.0,4.0,2.0,-1.0,-4.0,4.0,1.0,4.0,0.0,2.0,-2.0,1.0,0.0,1.0,-3.0,-3.0,1.0,-10.0,-2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,-5.0,1.0,-1.0,-1.0,0.0,-2.0,0.0,-1.0,-3.0,6.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
2024-11-24,-6.0,1.0,-1.0,-1.0,0.0,6.0,1.0,0.0,0.0,-3.0,1.0,0.0,-4.0,0.0,-1.0,4.0,-1.0,3.0,-2.0,-6.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,-1.0,2.0,0.0,0.0,-2.0,0.0,-3.0,0.0,-5.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0,-1.0,0.0,3.0,-2.0,7.0,1.0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384
2024-11-25,0.0,-1.0,1.0,2.0,0.0,8.0,0.0,4.0,-2.0,-5.0,-1.0,10.0,0.0,-1.0,0.0,-6.0,0.0,-1.0,2.0,9.0,-4.0,-2.0,-1.0,2.0,-5.0,0.0,-1.0,-4.0,0.0,0.0,-2.0,0.0,-1.0,-5.0,2.0,3.0,-5.0,-2.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-6.0,-7.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-3.0,9.0,1.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
2024-11-26,-4.0,-1.0,0.0,-2.0,-1.0,-5.0,-4.0,0.0,2.0,1.0,-2.0,1.0,6.0,2.0,-7.0,-3.0,1.0,2.0,1.0,-6.0,0.0,2.0,0.0,0.0,-1.0,4.0,0.0,-2.0,0.0,2.0,1.0,-1.0,4.0,-1.0,-3.0,1.0,-1.0,-7.0,4.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,-6.0,-6.0,-2.0,2.0,-1.0,-1.0,1.0,4.0,0.0,7.0,3.0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2024-11-27,2.0,0.0,0.0,-1.0,1.0,1.0,-2.0,-1.0,-1.0,0.0,-2.0,2.0,-1.0,0.0,-1.0,-3.0,0.0,-3.0,4.0,-4.0,-1.0,1.0,0.0,0.0,2.0,5.0,1.0,-1.0,0.0,5.0,1.0,0.0,2.0,-1.0,2.0,-1.0,3.0,-2.0,1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384
2024-11-28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0,-1.0,2.0,0.0,2.0,0.0,-3.0,1.0,-3.0,-1.0,0.0,-2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,-2.0,0.0,0.0,-3.0,0.0,-1.0,-1.0,0.0,1.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,-1.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,-3.0,0.0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-29,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-2.0,2.0,0.0,2.0,-1.0,-1.0,0.0,-6.0,3.0,1.0,-1.0,-7.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-4.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.0,1.0,1.0,1.0,-1.0,0.0,-3.0,6.0,0.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-30,2.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,1.0,-2.0,0.0,-1.0,2.0,0.0,3.0,0.0,-2.0,0.0,-1.0,-4.0,3.0,5.0,3.0,0.0,-1.0,-1.0,0.0,4.0,0.0,-4.0,0.0,5.0,0.0,0.0,3.0,0.0,-3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-1.0,-2.0,1.0,1.0,0.0,1.0,-1.0,0.0,2.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
2024-12-01,0.0,-1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,-3.0,9.0,0.0,-3.0,1.0,-1.0,1.0,-1.0,-15.0,0.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,1.0,2.0,0.0,-1.0,-5.0,-3.0,1.0,-3.0,-5.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,6.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-2.0,1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-02,0.0,-2.0,0.0,-2.0,2.0,0.0,-4.0,1.0,-2.0,8.0,-4.0,-8.0,-16.0,0.0,3.0,0.0,-1.0,0.0,0.0,21.0,-2.0,3.0,1.0,-2.0,1.0,-1.0,0.0,-7.0,0.0,3.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,8.0,-22.0,0.0,0.0,6.0,0.0,0.0,-2.0,0.0,-1.0,4.0,0.0,5.0,-1.0,7.0,0.0,-2.0,-2.0,-1.0,-1.0,0.0,1.0,0.0,2.0,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-03,0.0,1.0,0.0,-4.0,1.0,3.0,5.0,1.0,-1.0,4.0,2.0,25.0,27.0,-2.0,-5.0,2.0,-3.0,0.0,3.0,-15.0,-1.0,-2.0,0.0,1.0,-2.0,5.0,2.0,-7.0,0.0,-2.0,4.0,-1.0,-7.0,-23.0,-1.0,-1.0,-3.0,-28.0,2.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,3.0,1.0,-7.0,-2.0,2.0,0.0,-1.0,1.0,0.0,0.0,4.0,0.0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2024-12-04,-4.0,1.0,0.0,-3.0,1.0,0.0,0.0,1.0,0.0,15.0,-3.0,14.0,-23.0,1.0,0.0,0.0,-4.0,1.0,1.0,13.0,-2.0,-1.0,1.0,0.0,-5.0,1.0,2.0,-1.0,0.0,2.0,0.0,-1.0,1.0,-9.0,-4.0,0.0,3.0,-21.0,5.0,0.0,-5.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,5.0,2.0,-6.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,-3.0,0.0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0
